step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.6941838,0.084652863
2,64,0.0002,0.69282603,0.094166175
3,96,0.0003,0.693252,0.063101783
4,128,0.0004,0.69076848,0.17081714
5,160,0.0005,0.69444564,0.06528464
6,192,0.0006,0.69433513,0.067139357
7,224,0.0007,0.68446267,0.16618018
8,256,0.0008,0.69208702,0.060651045
9,288,0.0009,0.68695199,0.10180532
10,320,0.001,0.72082409,0.26776665
11,352,0.0011,0.69977677,0.11159609
12,384,0.0012,0.69580659,0.08848913
13,416,0.0013,0.68513739,0.093634382
14,448,0.0014,0.69501877,0.060328212
15,480,0.0015,0.68689415,0.07441771
16,512,0.0016,0.68141481,0.10616491
17,544,0.0017,0.69209343,0.06109634
18,576,0.0018,0.69475901,0.069320932
19,608,0.0019,0.67919001,0.12159163
20,640,0.002,0.69646391,0.10626404
21,672,0.002,0.68527681,0.10136712
22,704,0.0019999954,0.69359833,0.069054566
23,736,0.0019999815,0.69467869,0.088717222
24,768,0.0019999584,0.68381527,0.14029555
25,800,0.001999926,0.69179451,0.08826682
26,832,0.0019998844,0.67785588,0.10797621
27,864,0.0019998335,0.68832842,0.084867366
28,896,0.0019997734,0.68663761,0.092962444
29,928,0.0019997041,0.67448422,0.14739683
30,960,0.0019996254,0.67678997,0.12940039
31,992,0.0019995376,0.68257627,0.16778684
32,1024,0.0019994405,0.66274595,0.10437574
33,1056,0.0019993342,0.65634388,0.10752388
34,1088,0.0019992186,0.68434203,0.12104201
35,1120,0.0019990938,0.71755344,0.28250745
36,1152,0.0019989597,0.67968458,0.20399356
37,1184,0.0019988164,0.68697715,0.2815052
38,1216,0.0019986639,0.6577369,0.15460397
39,1248,0.0019985021,0.6329976,0.27638894
40,1280,0.0019983311,0.68960738,0.22856784
41,1312,0.0019981509,0.61844233,0.29322231
42,1344,0.0019979614,0.67196333,0.15245183
43,1376,0.0019977627,0.65266725,0.17190745
44,1408,0.0019975548,0.75157392,0.42231199
45,1440,0.0019973376,0.62512216,0.23829956
46,1472,0.0019971113,0.67793772,0.1450839
47,1504,0.0019968757,0.67880553,0.24762227
48,1536,0.0019966309,0.61560431,0.24000721
49,1568,0.0019963769,0.69545898,0.20669213
50,1600,0.0019961136,0.66014603,0.12578338
51,1632,0.0019958412,0.62320122,0.15892644
52,1664,0.0019955596,0.69644332,0.25616738
53,1696,0.0019952687,0.72941366,0.51372707
54,1728,0.0019949687,0.66224274,0.21171181
55,1760,0.0019946594,0.70599705,0.32532135
56,1792,0.001994341,0.69369832,0.24390344
57,1824,0.0019940134,0.67011577,0.28264549
58,1856,0.0019936765,0.70442176,0.19897938
59,1888,0.0019933305,0.6553635,0.17827757
60,1920,0.0019929754,0.66577065,0.2976535
61,1952,0.001992611,0.69860503,0.30884144
62,1984,0.0019922375,0.65044171,0.24752979
63,2016,0.0019918548,0.68786082,0.14380164
64,2048,0.0019914629,0.70233461,0.11769445
65,2080,0.0019910619,0.68153512,0.22289282
66,2112,0.0019906517,0.67498681,0.11665063
67,2144,0.0019902324,0.68087006,0.27406743
68,2176,0.0019898039,0.65267581,0.17389911
69,2208,0.0019893663,0.67023268,0.15675043
70,2240,0.0019889195,0.65475053,0.16332376
71,2272,0.0019884636,0.69015142,0.15886973
72,2304,0.0019879986,0.66305342,0.11013369
73,2336,0.0019875244,0.69053906,0.22751957
74,2368,0.0019870411,0.65625483,0.14134936
75,2400,0.0019865487,0.7000995,0.18255362
76,2432,0.0019860472,0.73296398,0.40437356
77,2464,0.0019855366,0.65901381,0.27096057
78,2496,0.0019850169,0.65648618,0.39641359
79,2528,0.0019844881,0.66738009,0.20066205
80,2560,0.0019839502,0.69558474,0.17892523
81,2592,0.0019834032,0.6745953,0.26189458
82,2624,0.0019828472,0.70490098,0.30644149
83,2656,0.0019822821,0.67759711,0.25699049
84,2688,0.0019817079,0.65808871,0.13344213
85,2720,0.0019811246,0.69418797,0.32059327
86,2752,0.0019805323,0.66552532,0.14906612
87,2784,0.0019799309,0.71714431,0.17415543
88,2816,0.0019793205,0.66920149,0.24421127
89,2848,0.0019787011,0.68490779,0.27145672
90,2880,0.0019780726,0.6762504,0.17855419
91,2912,0.0019774351,0.66547573,0.24815902
92,2944,0.0019767886,0.64165443,0.1845395
93,2976,0.0019761331,0.70624027,0.18949731
94,3008,0.0019754686,0.70725593,0.38439333
95,3040,0.001974795,0.60803914,0.33221141
96,3072,0.0019741125,0.70564076,0.15043201
97,3104,0.001973421,0.70221049,0.19700453
98,3136,0.0019727206,0.67478547,0.269923
99,3168,0.0019720111,0.69630313,0.18844652
100,3200,0.0019712927,0.64129579,0.26743248
101,3232,0.0019705654,0.66508245,0.23273845
102,3264,0.0019698291,0.71291453,0.22830544
103,3296,0.0019690838,0.69506806,0.21815263
104,3328,0.0019683297,0.67342433,0.10350814
105,3360,0.0019675666,0.62549144,0.30901039
106,3392,0.0019667946,0.65957111,0.16716807
107,3424,0.0019660136,0.65708289,0.26801702
108,3456,0.0019652238,0.73370978,0.43740973
