step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69374031,0.29231608
2,64,0.0002,0.69160932,0.30520177
3,96,0.0003,0.69636619,0.33739492
4,128,0.0004,0.69012642,0.29521176
5,160,0.0005,0.69441923,0.37255114
6,192,0.0006,0.69201243,0.25721201
7,224,0.0007,0.69043899,0.30291119
8,256,0.0008,0.68676814,0.35353339
9,288,0.0009,0.69761804,0.30870992
10,320,0.001,0.68398234,0.3468551
11,352,0.0011,0.69706753,0.3143993
12,384,0.0012,0.68358454,0.34796742
13,416,0.0013,0.70011258,0.30083898
14,448,0.0014,0.69397837,0.33762127
15,480,0.0015,0.72690186,0.54259866
16,512,0.0016,0.68100214,0.27525592
17,544,0.0017,0.69108704,0.34931704
18,576,0.0018,0.71699339,0.35134476
19,608,0.0019,0.69232559,0.30991611
20,640,0.002,0.68608239,0.30884999
21,672,0.002,0.68704906,0.30236509
22,704,0.0019999954,0.68491822,0.2783151
23,736,0.0019999815,0.71702778,0.4150033
24,768,0.0019999584,0.67006925,0.30550513
25,800,0.001999926,0.65516347,0.29267937
26,832,0.0019998844,0.68397701,0.35075888
27,864,0.0019998335,0.67767397,0.28656116
28,896,0.0019997734,0.71487164,0.3767775
29,928,0.0019997041,0.66918749,0.3234058
30,960,0.0019996254,0.6982666,0.33380944
31,992,0.0019995376,0.71381998,0.43851152
32,1024,0.0019994405,0.69114053,0.3977032
33,1056,0.0019993342,0.66871625,0.27421385
34,1088,0.0019992186,0.65921131,0.30387652
35,1120,0.0019990938,0.70637441,0.33650693
36,1152,0.0019989597,0.71899354,0.44581178
37,1184,0.0019988164,0.72286671,0.45727333
38,1216,0.0019986639,0.68265682,0.34201264
39,1248,0.0019985021,0.66606957,0.32402229
40,1280,0.0019983311,0.6640572,0.30659029
41,1312,0.0019981509,0.66721666,0.3383379
42,1344,0.0019979614,0.67520958,0.33497086
43,1376,0.0019977627,0.66621658,0.28648999
44,1408,0.0019975548,0.73888063,0.43344209
45,1440,0.0019973376,0.66457146,0.33896708
46,1472,0.0019971113,0.63350222,0.38842481
47,1504,0.0019968757,0.7350733,0.49440363
48,1536,0.0019966309,0.6451588,0.35895795
49,1568,0.0019963769,0.69904673,0.35662404
50,1600,0.0019961136,0.67514285,0.28987756
51,1632,0.0019958412,0.64577705,0.3326388
52,1664,0.0019955596,0.70586792,0.32859114
53,1696,0.0019952687,0.7740514,0.69029009
54,1728,0.0019949687,0.66395178,0.26947317
55,1760,0.0019946594,0.69429982,0.39429641
56,1792,0.001994341,0.68112704,0.29137689
